                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    120,                 1.4435,                 1.9513,                 1.7389,                 0.7958,                0.71326,                0.76114,                0.45821,                 1.6361,                 2.0349,                 1.9321,              0.0074347,              0.0074347,              0.0074347
                    121,                 1.4187,                 1.8711,                 1.7073,                0.75835,                0.71776,                0.74848,                 0.4419,                 1.6689,                 2.1072,                 1.9853,              0.0073956,              0.0073956,              0.0073956
                    122,                  1.428,                 1.8776,                  1.729,                0.80965,                0.69215,                0.76078,                0.45514,                 1.6393,                 2.0948,                 1.9541,              0.0073564,              0.0073564,              0.0073564
                    123,                 1.4103,                 1.8492,                 1.7067,                 0.8041,                0.69373,                0.75627,                0.45424,                 1.6238,                 2.0519,                 1.9363,               0.007317,               0.007317,               0.007317
                    124,                 1.4383,                 1.8739,                  1.714,                0.80367,                0.68598,                0.76219,                0.46518,                 1.6052,                 1.9893,                 1.9035,              0.0072774,              0.0072774,              0.0072774
                    125,                 1.4243,                 1.8923,                 1.7047,                0.82377,                0.69013,                0.75485,                 0.4577,                 1.6143,                 2.0327,                 1.9371,              0.0072377,              0.0072377,              0.0072377
                    126,                 1.4131,                 1.8411,                 1.6953,                0.78478,                0.71685,                0.76767,                0.46552,                 1.6183,                  2.006,                 1.9321,              0.0071977,              0.0071977,              0.0071977
                    127,                 1.3866,                  1.775,                 1.6722,                0.80529,                0.70846,                0.77796,                0.46946,                 1.6332,                 1.9957,                  1.927,              0.0071576,              0.0071576,              0.0071576
                    128,                 1.4123,                 1.8408,                 1.7043,                0.74917,                0.73975,                0.77065,                 0.4673,                 1.6198,                 1.9592,                 1.9023,              0.0071173,              0.0071173,              0.0071173
                    129,                 1.4139,                 1.8577,                  1.699,                0.76216,                0.70785,                0.75046,                0.45659,                 1.6003,                 2.0801,                 1.9388,              0.0070769,              0.0070769,              0.0070769
                    130,                 1.4401,                  1.892,                 1.7292,                0.79954,                0.71836,                0.75893,                0.45978,                 1.6321,                 2.0419,                 1.9398,              0.0070363,              0.0070363,              0.0070363
                    131,                 1.4175,                 1.8363,                 1.6959,                0.80832,                0.70648,                0.76248,                0.46708,                 1.6116,                 2.0345,                 1.9332,              0.0069955,              0.0069955,              0.0069955
                    132,                 1.4047,                 1.7845,                 1.6818,                0.77931,                 0.7128,                 0.7619,                0.47228,                 1.5895,                 2.0407,                 1.9134,              0.0069545,              0.0069545,              0.0069545
